0,59
1,56
2,49
3,41
4,33
5,28
6,23
7,21
8,27
9,23
10,26
11,29
12,29
13,32
14,33
15,36
16,35
17,38
18,39
19,40
20,42
21,43
22,42
23,47
24,48
25,49
26,52
27,54
28,55
29,58
30,59
31,58
32,61
33,62
34,65
35,66
36,68
37,67
38,70
39,71
40,74
41,75
42,76
43,79
44,81
45,82
46,83
47,84
48,87
49,88
50,91
51,91
52,90
53,95
54,94
55,95
56,98
57,100
58,103
59,104
60,105
61,106
62,107
63,110
64,111
65,113
66,116
67,117
68,118
69,119
70,122
71,125
72,123
73,124
74,127
75,130
76,131
77,132
78,133
79,134
80,139
81,139
82,140
83,141
84,142
85,145
86,148
87,149
88,149
89,152
90,153
91,154
92,157
93,158
94,161
95,162
96,164
97,165
98,168
99,167
