0,149
1,152
2,155
3,156
4,117
5,116
6,115
7,114
8,113
9,110
10,119
11,132
12,135
13,148
14,151
15,164
16,173
17,184
18,189
19,202
20,207
21,220
22,227
23,236
24,245
25,258
26,265
27,274
28,283
29,296
30,301
31,312
32,321
33,330
34,339
35,350
36,359
37,368
38,377
39,388
40,395
41,406
42,415
43,424
44,433
45,444
46,449
47,462
48,471
49,482
50,487
51,500
52,509
53,518
54,525
55,538
56,543
57,556
58,563
59,572
60,581
61,594
62,601
63,610
64,619
65,632
66,639
67,648
68,657
69,666
70,675
71,686
72,695
73,704
74,713
75,724
76,733
77,742
78,751
79,762
80,769
81,780
82,789
83,798
84,807
85,818
86,823
87,836
88,845
89,856
90,861
91,874
92,883
93,892
94,899
95,912
96,917
97,930
98,937
99,946
