0,11
1,16
2,21
3,26
4,31
5,36
6,41
7,46
8,51
9,56
10,61
11,66
12,71
13,76
14,81
15,86
16,91
17,96
18,101
19,106
20,111
21,116
22,121
23,126
24,131
25,136
26,141
27,146
28,151
29,156
30,161
31,166
32,171
33,176
34,181
35,186
36,191
37,196
38,201
39,206
40,211
41,216
42,221
43,226
44,231
45,236
46,241
47,246
48,251
49,256
50,261
51,266
52,271
53,276
54,281
55,286
56,291
57,296
58,301
59,306
60,311
61,316
62,321
63,326
64,331
65,336
66,341
67,346
68,351
69,356
70,361
71,366
72,371
73,376
74,381
75,386
76,391
77,396
78,401
79,406
80,411
81,416
82,421
83,426
84,431
85,436
86,441
87,446
88,451
89,456
90,461
91,466
92,471
93,476
94,481
95,486
96,491
97,496
98,501
99,506
