0,11
1,6
2,5
3,12
4,19
5,26
6,33
7,40
8,47
9,54
10,61
11,68
12,75
13,82
14,89
15,96
16,103
17,110
18,117
19,124
20,131
21,138
22,145
23,152
24,159
25,166
26,173
27,180
28,187
29,194
30,201
31,208
32,215
33,222
34,229
35,236
36,243
37,250
38,257
39,264
40,271
41,278
42,285
43,292
44,299
45,306
46,313
47,320
48,327
49,334
50,341
51,348
52,355
53,362
54,369
55,376
56,383
57,390
58,397
59,404
60,411
61,418
62,425
63,432
64,439
65,446
66,453
67,460
68,467
69,474
70,481
71,488
72,495
73,502
74,509
75,516
76,523
77,530
78,537
79,544
80,551
81,558
82,565
83,572
84,579
85,586
86,593
87,600
88,607
89,614
90,621
91,628
92,635
93,642
94,649
95,656
96,663
97,670
98,677
99,684
